model,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
FlexibleCNN1,1,1.8631777117162351,0.8228038359449421,0.646914005279541,0.6825172901153564,0.646914005279541,0.6518632769584656
FlexibleCNN1,2,0.9061100112675334,0.5558802447778598,0.7489060163497925,0.8011866807937622,0.7489060163497925,0.7444984912872314
FlexibleCNN1,3,0.6950851425079708,0.40367049750116724,0.8098738193511963,0.8533803224563599,0.8098738193511963,0.8191811442375183
FlexibleCNN1,4,0.5690277109095317,0.35796224643585506,0.8410190939903259,0.8671121597290039,0.8410190939903259,0.8453010320663452
FlexibleCNN1,5,0.502516830500593,0.33579637268117923,0.8537218570709229,0.8835018873214722,0.8537218570709229,0.8615322113037109
FlexibleCNN1,6,0.45434080845554237,0.30340066733281257,0.8817850351333618,0.8870114684104919,0.8817850351333618,0.8796247839927673
FlexibleCNN1,7,0.41889893146278073,0.2297346062423116,0.902919590473175,0.911899209022522,0.902919590473175,0.905087947845459
FlexibleCNN1,8,0.3688277048498929,0.23010510447348753,0.8988155126571655,0.9158849716186523,0.8988155126571655,0.9044227600097656
FlexibleCNN1,9,0.3532828609527576,0.19078514902338503,0.9250205755233765,0.9274967908859253,0.9250205755233765,0.9242011308670044
FlexibleCNN1,10,0.3355634911537296,0.19638480117454202,0.9231739044189453,0.9248127341270447,0.9231739044189453,0.92075514793396
FlexibleCNN1,11,0.30771071286785057,0.16460143711539116,0.9325578212738037,0.9336850047111511,0.9325578212738037,0.9313549399375916
FlexibleCNN1,12,0.29797911790073284,0.15109159932171662,0.9339779615402222,0.9392059445381165,0.9339779615402222,0.9343893527984619
FlexibleCNN1,13,0.27484350367453514,0.16167470050633795,0.9317939877510071,0.9350281953811646,0.9317939877510071,0.932246208190918
FlexibleCNN1,14,0.2728679968113493,0.13814241308387326,0.9371557831764221,0.9482051134109497,0.9371557831764221,0.9414899349212646
FlexibleCNN1,15,0.2487247410627097,0.15125451340969534,0.9361884593963623,0.940990686416626,0.9361884593963623,0.936996340751648
FlexibleCNN2,1,2.374150304030419,1.6796066984945899,0.6187554597854614,0.6971737742424011,0.6187554597854614,0.6159074306488037
FlexibleCNN2,2,1.7398676484411646,1.4692451067538697,0.7295994162559509,0.7689599394798279,0.7295994162559509,0.7263244390487671
FlexibleCNN2,3,1.5701374483378203,1.3477820633231972,0.8226350545883179,0.87860107421875,0.8226350545883179,0.834345817565918
FlexibleCNN2,4,1.4765692800185437,1.2686039539697787,0.8709194660186768,0.9054279327392578,0.8709194660186768,0.878495454788208
FlexibleCNN2,5,1.4282212172341036,1.2455379763287662,0.8859809041023254,0.9112156629562378,0.8859809041023254,0.8916959762573242
FlexibleCNN2,6,1.386000014706127,1.219568189204727,0.9029157161712646,0.9298272132873535,0.9029157161712646,0.9129863977432251
FlexibleCNN2,7,1.3521204292280304,1.2052678630131017,0.9046509861946106,0.9267056584358215,0.9046509861946106,0.9122233390808105
FlexibleCNN2,8,1.3273986918039107,1.176446036856331,0.921051025390625,0.9403128027915955,0.921051025390625,0.9281303286552429
FlexibleCNN2,9,1.3075816535266092,1.16938562377089,0.9285867214202881,0.9456658363342285,0.9285867214202881,0.9355562925338745
FlexibleCNN2,10,1.2920400579806992,1.1469504894545797,0.9445015788078308,0.9539322853088379,0.9445015788078308,0.9478460550308228
FlexibleCNN2,11,1.2744847317675172,1.1394370343657343,0.9407961368560791,0.9574944972991943,0.9407961368560791,0.9443076848983765
FlexibleCNN2,12,1.2618620066960737,1.1248837461348615,0.9490818977355957,0.9637136459350586,0.9490818977355957,0.9551517963409424
FlexibleCNN2,13,1.2529216562339103,1.1183608669090155,0.958571195602417,0.9624557495117188,0.958571195602417,0.9601752758026123
FlexibleCNN2,14,1.241930686096353,1.1080506750233265,0.9590829014778137,0.9665717482566833,0.9590829014778137,0.9621591567993164
FlexibleCNN2,15,1.2264947565891045,1.102623444733406,0.9571636319160461,0.9699182510375977,0.9571636319160461,0.9625453948974609
ResNet18 Stage1,1,2.4035142267438654,1.584242357572505,0.4717673659324646,0.6743121147155762,0.4717673659324646,0.48268914222717285
ResNet18 Stage1,2,1.3021447377535413,0.9562431075149991,0.710687518119812,0.7847965955734253,0.710687518119812,0.7292548418045044
ResNet18 Stage1,3,0.8876566068429658,0.6819532921886503,0.78800368309021,0.8619836568832397,0.78800368309021,0.80027174949646
ResNet18 Stage1,4,0.6836356631599099,0.5508448669374757,0.8199561834335327,0.9021893739700317,0.8199561834335327,0.8364318013191223
